"filename", "language", "XML", "Java Properties", "HTML", "Batch", "Java", "comment", "blank", "total"
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources.local.xml", "XML", 24, 0, 0, 0, 0, 0, 0, 24
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources.xml", "XML", 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\dataSources\eeb974da-2ebf-423d-85ad-546cbf502f86.xml", "XML", 17048, 0, 0, 0, 0, 0, 0, 17048
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\encodings.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\misc.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\uiDesigner.xml", "XML", 124, 0, 0, 0, 0, 0, 0, 124
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\webContexts.xml", "XML", 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.idea\workspace.xml", "XML", 237, 0, 0, 0, 0, 0, 0, 237
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\mvnw.cmd", "Batch", 0, 0, 0, 102, 0, 51, 36, 189
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\pom.xml", "XML", 73, 0, 0, 0, 0, 2, 5, 80
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\dao\UserEntityManager.java", "Java", 0, 0, 0, 0, 44, 0, 8, 52
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\PersonsEntity.java", "Java", 0, 0, 0, 0, 50, 0, 15, 65
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\login\LoginModel.java", "Java", 0, 0, 0, 0, 22, 0, 8, 30
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\model\login\LoginValidationMessage.java", "Java", 0, 0, 0, 0, 22, 0, 8, 30
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\HelloServlet.java", "Java", 0, 0, 0, 0, 39, 1, 9, 49
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\LoginServlet.java", "Java", 0, 0, 0, 0, 29, 0, 5, 34
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\LogoutServlet.java", "Java", 0, 0, 0, 0, 17, 0, 5, 22
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\RegisterServlet.java", "Java", 0, 0, 0, 0, 30, 0, 6, 36
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\META-INF\beans.xml", "XML", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\META-INF\persistence.xml", "XML", 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\PersonsEntity.hbm.xml", "XML", 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\hibernate.cfg.xml", "XML", 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\WEB-INF\web.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\home.jsp", "HTML", 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\index.jsp", "HTML", 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\login.jsp", "HTML", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\register.jsp", "HTML", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\user.jsp", "HTML", 0, 0, 29, 0, 0, 0, 0, 29
"Total", "-", 17622, 2, 108, 102, 253, 54, 115, 18256